tth,COR,HYM,CAL
25.08130221,173,272,144
25.10756278,153,356,137
25.13382334,150,310,131
25.16008391,173,303,123
25.18634447,169,339,123
25.21260504,168,391,127
25.2388656,204,391,109
25.26512617,240,444,111
25.29138674,241,515,122
25.3176473,278,578,132
25.34390787,371,721,120
25.37016843,458,830,117
25.396429,667,882,131
25.42268956,943,896,130
25.44895013,1337,911,131
25.47521069,2060,888,127
25.50147126,3022,836,157
25.52773182,4484,771,132
25.55399239,6859,663,112
25.58025295,8069,540,113
25.60651352,6560,484,113
25.63277408,5044,404,120
25.65903465,3693,382,103
25.68529522,1818,362,120
25.71155578,936,325,130
25.73781635,541,303,107
25.76407691,402,314,122
25.79033748,311,272,125
25.81659804,260,285,113
25.84285861,226,287,121
25.86911917,189,288,113
25.89537974,201,269,111
25.9216403,193,254,143
25.94790087,190,250,130
25.97416143,169,284,124
26.000422,177,291,120
26.02668257,142,269,107
26.05294313,156,271,132
26.0792037,135,268,103
26.10546426,132,243,135
26.13172483,130,261,121
26.15798539,162,274,120
26.18424596,116,251,117
26.21050652,143,241,139
26.23676709,136,252,111
26.26302765,127,260,122
26.28928822,136,291,137
26.31554878,131,254,120
26.34180935,111,282,134
26.36806991,102,265,123
26.39433048,119,282,124
26.42059105,109,301,124
26.44685161,100,308,106
26.47311218,114,279,127
26.49937274,106,333,138
26.52563331,116,372,152
26.55189387,107,377,122
26.57815444,113,420,150
26.604415,109,395,148
26.63067557,108,512,128
26.65693613,121,590,139
26.6831967,141,647,142
26.70945726,103,807,127
26.73571783,91,930,123
26.7619784,108,1006,119
26.78823896,105,1147,133
26.81449953,116,1277,120
26.84076009,103,1583,124
26.86702066,99,1570,107
26.89328122,114,1695,113
26.91954179,105,1660,123
26.94580235,104,1632,103
26.97206292,130,1411,128
26.99832348,118,1298,118
27.02458405,124,1136,118
27.05084461,95,994,86
27.07710518,110,858,100
27.10336574,104,722,133
27.12962631,111,620,117
27.15588688,94,598,116
27.18214744,94,532,112
27.20840801,108,438,122
27.23466857,105,442,123
27.26092914,105,419,131
27.2871897,112,399,110
27.31345027,112,363,122
27.33971083,121,354,107
27.3659714,101,385,130
27.39223196,98,369,113
27.41849253,121,373,101
27.44475309,97,423,127
27.47101366,117,372,118
27.49727422,112,408,107
27.52353479,123,420,109
27.54979536,114,406,115
27.57605592,118,470,121
27.60231649,87,507,121
27.62857705,111,479,121
27.65483762,106,585,100
27.68109818,84,637,122
27.70735875,90,725,106
27.73361931,99,828,112
27.75987988,103,925,121
27.78614044,100,916,123
