tth,counts
38.10144263,243
38.12770319,281
38.15396376,282
38.18022432,343
38.20648489,384
38.23274546,390
38.25900602,426
38.28526659,490
38.31152715,509
38.33778772,499
38.36404828,515
38.39030885,423
38.41656941,400
38.44282998,375
38.46909054,338
38.49535111,351
38.52161167,267
38.54787224,298
38.57413281,259
38.60039337,262
38.62665394,277
38.6529145,254
38.67917507,272
38.70543563,312
38.7316962,297
38.75795676,313
38.78421733,307
38.81047789,355
38.83673846,360
38.86299902,402
38.88925959,461
38.91552015,488
38.94178072,529
38.96804129,567
38.99430185,662
39.02056242,706
39.04682298,728
39.07308355,744
39.09934411,678
39.12560468,739
39.15186524,763
39.17812581,702
39.20438637,677
39.23064694,608
39.2569075,567
39.28316807,518
39.30942864,517
39.3356892,428
39.36194977,383
39.38821033,374
39.4144709,319
39.44073146,324
39.46699203,275
39.49325259,274
39.51951316,246
39.54577372,232
39.57203429,257
39.59829485,221
39.62455542,189
39.65081598,206
39.67707655,201
39.70333712,192
39.72959768,186
39.75585825,203
39.78211881,201
39.80837938,186
39.83463994,199
39.86090051,192
39.88716107,205
39.91342164,186
39.9396822,170
39.96594277,203
39.99220333,198
40.0184639,207
40.04472447,170
40.07098503,197
40.0972456,221
40.12350616,213
40.14976673,222
40.17602729,191
40.20228786,228
40.22854842,248
40.25480899,312
40.28106955,290
40.30733012,314
40.33359068,313
40.35985125,348
40.38611181,370
40.41237238,387
40.43863295,371
40.46489351,368
40.49115408,376
40.51741464,374
40.54367521,381
40.56993577,337
40.59619634,405
40.6224569,449
40.64871747,462
40.67497803,545
40.7012386,578
40.72749916,661
40.75375973,729
40.78002029,853
40.80628086,872
40.83254143,945
40.85880199,982
40.88506256,991
40.91132312,944
40.93758369,913
40.96384425,800
40.99010482,786
41.01636538,755
41.04262595,690
41.06888651,688
41.09514708,624
41.12140764,615
41.14766821,639
41.17392878,619
41.20018934,574
41.22644991,662
41.25271047,631
41.27897104,705
41.3052316,646
41.33149217,609
41.35775273,596
41.3840133,601
41.41027386,618
41.43653443,625
41.46279499,665
41.48905556,647
41.51531612,701
41.54157669,704
41.56783726,813
41.59409782,838
41.62035839,914
41.64661895,918
41.67287952,1017
41.69914008,1096
41.72540065,1197
41.75166121,1194
41.77792178,1334
41.80418234,1291
41.83044291,1274
41.85670347,1335
41.88296404,1367
41.90922461,1341
41.93548517,1256
41.96174574,1278
41.9880063,1221
42.01426687,1226
42.04052743,1148
42.066788,1202
42.09304856,1137
42.11930913,1107
42.14556969,1098
42.17183026,992
42.19809082,952
42.22435139,919
42.25061195,835
42.27687252,750
42.30313309,776
42.32939365,647
42.35565422,595
42.38191478,507
42.40817535,472
42.43443591,451
42.46069648,412
42.48695704,414
42.51321761,325
42.53947817,319
42.56573874,276
42.5919993,262
42.61825987,264
42.64452044,271
42.670781,234
42.69704157,247
42.72330213,222
42.7495627,201
42.77582326,200
42.80208383,215
42.82834439,184
42.85460496,230
42.88086552,201
42.90712609,214
42.93338665,201
42.95964722,241
42.98590778,237
43.01216835,244
43.03842892,242
43.06468948,267
43.09095005,295
43.11721061,363
43.14347118,414
43.16973174,483
43.19599231,609
43.22225287,822
43.24851344,1085
43.274774,1507
43.30103457,2221
43.32729513,3004
43.3535557,3520
43.37981627,3003
43.40607683,2049
43.4323374,1850
43.45859796,1857
43.48485853,1666
43.51111909,1050
43.53737966,537
43.56364022,377
43.58990079,287
43.61616135,222
43.64242192,210
43.66868248,229
43.69494305,217
43.72120361,225
43.74746418,196
43.77372475,190
43.79998531,196
43.82624588,159
43.85250644,168
43.87876701,186
43.90502757,177
43.93128814,189
43.9575487,208
43.98380927,181
44.01006983,196
44.0363304,183
44.06259096,169
44.08885153,173
44.1151121,197
44.14137266,247
44.16763323,186
44.19389379,216
44.22015436,277
44.24641492,272
44.27267549,285
44.29893605,304
44.32519662,324
44.35145718,311
44.37771775,327
44.40397831,342
44.43023888,357
44.45649944,312
44.48276001,311
44.50902058,318
44.53528114,309
44.56154171,326
44.58780227,304
44.61406284,315
44.6403234,342
44.66658397,357
44.69284453,367
44.7191051,356
44.74536566,371
44.77162623,395
44.79788679,373
44.82414736,380
44.85040793,332
44.87666849,334
44.90292906,353
44.92918962,330
44.95545019,325
44.98171075,365
45.00797132,361
45.03423188,355
45.06049245,365
45.08675301,382
45.11301358,402
45.13927414,359
45.16553471,401
45.19179527,431
45.21805584,457
45.24431641,438
45.27057697,482
45.29683754,560
45.3230981,611
45.34935867,666
45.37561923,748
45.4018798,777
45.42814036,837
45.45440093,908
45.48066149,978
45.50692206,1001
45.53318262,1077
45.55944319,1018
45.58570376,1031
45.61196432,929
45.63822489,880
45.66448545,788
45.69074602,675
45.71700658,631
45.74326715,538
45.76952771,511
45.79578828,497
45.82204884,465
45.84830941,421
45.87456997,410
45.90083054,369
45.9270911,371
45.95335167,400
45.97961224,402
46.0058728,417
46.03213337,444
46.05839393,381
46.0846545,408
46.11091506,442
46.13717563,391
46.16343619,413
46.18969676,409
46.21595732,362
46.24221789,339
46.26847845,300
46.29473902,296
46.32099959,262
46.34726015,251
46.37352072,265
46.39978128,244
46.42604185,253
