tth,counts
19.56148349,185
19.58774405,197
19.61400462,200
19.64026518,185
19.66652575,181
19.69278631,181
19.71904688,185
19.74530745,174
19.77156801,220
19.79782858,160
19.82408914,178
19.85034971,189
19.87661027,185
19.90287084,194
19.9291314,187
19.95539197,173
19.98165253,163
20.0079131,161
20.03417366,185
20.06043423,213
20.08669479,178
20.11295536,183
20.13921593,168
20.16547649,167
20.19173706,164
20.21799762,183
20.24425819,198
20.27051875,186
20.29677932,188
20.32303988,215
20.34930045,211
20.37556101,175
20.40182158,151
20.42808214,169
20.45434271,180
20.48060328,168
20.50686384,180
20.53312441,156
20.55938497,186
20.58564554,169
20.6119061,170
20.63816667,181
20.66442723,166
20.6906878,175
20.71694836,179
20.74320893,192
20.76946949,168
20.79573006,158
20.82199062,183
20.84825119,178
20.87451176,160
20.90077232,183
20.92703289,204
20.95329345,175
20.97955402,157
21.00581458,148
21.03207515,173
21.05833571,165
21.08459628,162
21.11085684,171
21.13711741,163
21.16337797,146
21.18963854,165
21.2158991,189
21.24215967,168
21.26842024,191
21.2946808,146
21.32094137,154
21.34720193,163
21.3734625,156
21.39972306,159
21.42598363,170
21.45224419,151
21.47850476,180
21.50476532,140
21.53102589,153
21.55728645,163
21.58354702,186
21.60980759,146
21.63606815,159
21.66232872,152
21.68858928,172
21.71484985,157
21.74111041,165
21.76737098,152
21.79363154,149
21.81989211,151
21.84615267,148
21.87241324,165
21.8986738,181
21.92493437,153
21.95119493,159
21.9774555,151
22.00371607,163
22.02997663,167
22.0562372,173
22.08249776,147
22.10875833,149
22.13501889,163
22.16127946,178
22.18754002,132
22.21380059,163
22.24006115,150
22.26632172,172
22.29258228,149
22.31884285,170
22.34510342,167
22.37136398,152
22.39762455,148
22.42388511,147
22.45014568,162
22.47640624,155
22.50266681,161
22.52892737,196
22.55518794,174
22.5814485,192
22.60770907,171
22.63396963,173
22.6602302,169
22.68649076,203
22.71275133,174
22.7390119,178
22.76527246,176
22.79153303,215
22.81779359,208
22.84405416,201
22.87031472,223
22.89657529,266
22.92283585,341
22.94909642,366
22.97535698,513
23.00161755,680
23.02787811,903
23.05413868,1067
23.08039925,1127
23.10665981,904
23.13292038,735
23.15918094,508
23.18544151,353
23.21170207,311
23.23796264,249
23.2642232,218
23.29048377,203
23.31674433,211
23.3430049,180
23.36926546,184
23.39552603,187
23.42178659,170
23.44804716,169
23.47430773,176
23.50056829,171
23.52682886,137
23.55308942,148
23.57934999,146
23.60561055,137
23.63187112,151
23.65813168,153
23.68439225,154
23.71065281,141
23.73691338,149
23.76317394,130
23.78943451,142
23.81569508,142
23.84195564,122
23.86821621,143
23.89447677,149
23.92073734,143
23.9469979,137
23.97325847,154
23.99951903,133
24.0257796,140
24.05204016,157
24.07830073,127
24.10456129,135
24.13082186,123
24.15708242,159
24.18334299,117
24.20960356,142
24.23586412,123
24.26212469,127
24.28838525,131
24.31464582,137
24.34090638,135
24.36716695,113
24.39342751,140
24.41968808,133
24.44594864,131
24.47220921,151
24.49846977,155
24.52473034,133
24.55099091,141
24.57725147,123
24.60351204,153
24.6297726,120
24.65603317,137
24.68229373,141
24.7085543,146
24.73481486,128
24.76107543,133
24.78733599,143
24.81359656,126
24.83985712,134
24.86611769,142
24.89237825,140
24.91863882,134
24.94489939,125
24.97115995,134
24.99742052,140
25.02368108,128
25.04994165,107
25.07620221,136
25.10246278,121
25.12872334,135
25.15498391,122
25.18124447,122
25.20750504,129
25.2337656,124
25.26002617,143
25.28628674,134
25.3125473,133
25.33880787,128
25.36506843,147
25.391329,139
25.41758956,186
25.44385013,200
25.47011069,260
25.49637126,309
25.52263182,477
25.54889239,745
25.57515295,1015
25.60141352,875
25.62767408,693
25.65393465,590
25.68019522,306
25.70645578,204
25.73271635,177
25.75897691,120
25.78523748,134
25.81149804,125
25.83775861,142
25.86401917,122
25.89027974,144
25.9165403,124
25.94280087,131
25.96906143,140
25.995322,125
26.02158257,128
26.04784313,112
26.0741037,93
26.10036426,109
26.12662483,128
26.15288539,104
26.17914596,120
26.20540652,133
26.23166709,139
26.25792765,130
26.28418822,123
26.31044878,115
26.33670935,126
26.36296991,126
26.38923048,145
26.41549105,128
26.44175161,126
26.46801218,124
26.49427274,114
26.52053331,138
26.54679387,119
26.57305444,128
26.599315,112
26.62557557,109
26.65183613,137
26.6780967,139
26.70435726,156
26.73061783,135
26.7568784,125
26.78313896,111
26.80939953,127
26.83566009,121
26.86192066,128
26.88818122,117
26.91444179,123
26.94070235,115
26.96696292,102
26.99322348,86
27.01948405,132
27.04574461,110
27.07200518,113
27.09826574,105
27.12452631,117
27.15078688,103
27.17704744,104
27.20330801,98
27.22956857,94
27.25582914,121
27.2820897,114
27.30835027,115
27.33461083,113
27.3608714,135
27.38713196,111
27.41339253,105
27.43965309,107
27.46591366,118
27.49217422,112
27.51843479,108
27.54469536,111
27.57095592,138
27.59721649,113
27.62347705,111
27.64973762,122
27.67599818,134
27.70225875,97
27.72851931,108
27.75477988,129
27.78104044,106
27.80730101,116
27.83356157,111
27.85982214,107
27.88608271,116
27.91234327,109
27.93860384,102
27.9648644,113
27.99112497,127
28.01738553,119
28.0436461,117
28.06990666,111
28.09616723,139
28.12242779,123
28.14868836,115
28.17494892,127
28.20120949,138
28.22747005,115
28.25373062,116
28.27999119,120
28.30625175,132
28.33251232,108
28.35877288,120
28.38503345,139
28.41129401,126
28.43755458,147
28.46381514,109
28.49007571,139
28.51633627,145
28.54259684,132
28.5688574,155
28.59511797,159
28.62137854,176
28.6476391,155
28.67389967,167
28.70016023,152
28.7264208,146
28.75268136,151
28.77894193,154
28.80520249,196
28.83146306,177
28.85772362,212
28.88398419,227
28.91024475,227
28.93650532,248
28.96276588,277
28.98902645,285
29.01528702,297
29.04154758,344
29.06780815,423
29.09406871,468
29.12032928,529
29.14658984,703
29.17285041,774
29.19911097,989
29.22537154,1262
29.2516321,1688
